Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,32.5,37.3,0,top
C2,0.1u,C_0402_1005Metric,32.5,32.6,0,top
C3,0.1u,C_0402_1005Metric,21.1,28.6,-45,top
C4,0.1u,C_0402_1005Metric,18.9,38.4,180,top
C5,0.1u,C_0402_1005Metric,18.42,35,90,top
C6,0.01u,C_0603_1608Metric,5.4,18.7,-90,top
C7,18p,C_0603_1608Metric,14.125,28.1,0,top
C8,18p,C_0603_1608Metric,14.125,26.5,0,top
C9,1.0u,C_0402_1005Metric,14.1,13.6,90,top
C11,1.0u,C_0402_1005Metric,32.5,36.2,0,top
C12,100u,CP_Elec_6.3x7.7,6.2,13.1,0,top
C13,1.0u,C_0603_1608Metric,7.1,18.7,-90,top
C14,0.1u,C_0402_1005Metric,23.6,17.55,180,top
C15,0.1u,C_0402_1005Metric,27.9,17.55,0,top
C19,1.0u,C_0402_1005Metric,19.7125,14.55,-90,top
D1,1N5817,D_SOD-123F,17.1125,10.95,0,top
F1,ASMD1206-050,Fuse_1206_3216Metric,32.2,8.8,-90,top
J1,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",13,4.0995,0,top
J2,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,10.075,41,90,top
J3,Conn_01x06,PinHeader_2x03_P2.54mm_Vertical,34.97,13.16,180,top
J5,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,14.76,23.94,0,top
J6,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,17.3,23.94,0,top
J7,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,12.22,23.94,0,top
J8,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,9.68,23.94,0,top
J9,USB_B_Micro,USB_Micro-AB_Molex_47590-0001,41.55,20.8,90,top
J10,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,35.6,23.9,0,top
J11,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,35.6,21.5,0,top
J12,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,23.09,1.4,90,top
J13,NEMA 17 Hole Pattern,NEMA 17 Hole Pattern,0,0,0,top
L1,BLM18PG471SN1D,L_0603_1608Metric,37.8,26.9,-45,top
L2,BLM18PG471SN1D,L_0603_1608Metric,19.42,36.9,0,top
LED1,Green,LED_0805_2012Metric,2.9,21.3,90,top
Q1,BSS138,SOT-23-3,3.990001,29.65,90,top
Q2,BSS138,SOT-23-3,7.740001,29.65,90,top
Q3,BSS138,SOT-23-3,11.95,33.8,90,top
Q4,BSS138,SOT-23-3,15.7,33.8,90,top
Q5,2N7002,SOT-323_SC-70,5.4,23.4,-90,top
R1,10k,R_0402_1005Metric,3.390001,26.95,0,top
R2,10k,R_0402_1005Metric,16.4,36.55,180,top
R3,10k,R_0402_1005Metric,15.1,31.1,0,top
R4,10k,R_0402_1005Metric,7.2,26.95,0,top
R5,50,R_0402_1005Metric,5.05,21.05,0,top
R6,10k,R_0402_1005Metric,4.590001,32.4,180,top
R7,4.7k,R_0402_1005Metric,32.1,26.5,-45,top
R8,4.7k,R_0402_1005Metric,33,27.4,-45,top
R11,10k,R_0402_1005Metric,7.190002,32.4125,0,top
R12,0.15,R_1206_3216Metric,27.7,5.6,90,top
R13,0.15,R_1206_3216Metric,23.8,5.6,90,top
R14,1k,R_0402_1005Metric,23.6,18.75,0,top
R15,1k,R_0402_1005Metric,27.9,18.75,180,top
R16,100k,R_0402_1005Metric,3.45,24.15,90,top
R20,10k,R_0402_1005Metric,11.35,31.1,0,top
R21,10k,R_0402_1005Metric,12.65,36.55,180,top
SW1,SW_SPST,SW_SPST_PTS810,36.5,31.3,0,top
U1,TLV70233_SOT23-5,SOT-23-5,16.8625,14.05,0,top
U3,A4954,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias,25.75,12.55,-90,top
U4,ATSAMD21G18A-A,TQFP-48_7x7mm_P0.5mm,25.4,33,-45,top
Y1,32.768k,Crystal_SMD_2012-2Pin_2.0x1.2mm,16.825,27.5,90,top
